country_code,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand
TCD,280.995,6.1,,,5.818,
TGO,280.033,6.15,0.9,14.2,10.475,0.7
THA,109.861,7.04,1.9,38.8,90.67,2.1
TJK,427.69800000000004,7.11,,,72.704,4.8
TLS,335.346,6.86,6.3,78.1,28.178,5.9
TTO,228.467,10.97,,,89.443,3.0
TUN,318.991,8.52,1.1,65.8,78.687,2.3
TUR,171.285,12.13,14.1,41.1,,2.81
TWN,103.95700000000001,,,,,
TZA,217.28799999999998,5.75,3.3,26.7,47.953,0.7
UGA,213.333,2.5,3.4,16.7,21.221999999999998,0.5
UKR,539.849,7.11,13.5,47.4,,8.8
URY,160.708,6.93,14.0,19.9,,2.8
USA,151.089,10.79,19.1,24.6,,2.77
UZB,724.4169999999999,7.57,1.3,24.7,,4.0
VAT,,,,,,
VCT,252.675,11.62,,,,2.6
VEN,204.85,6.47,,,,0.8
VGB,,13.67,,,,
VIR,273.67,12.26,,,,
VNM,245.465,6.0,1.0,45.9,85.84700000000001,2.6
OWID_KOS,,,,,,
YEM,495.00300000000004,5.35,7.6,29.2,49.542,0.7
ZAF,200.38,5.52,8.1,33.2,43.993,2.32
ZMB,234.49900000000002,3.94,3.1,24.7,13.937999999999999,2.0
ZWE,307.846,1.82,1.6,30.7,36.791,1.7
OWID_WRL,233.07,8.51,6.434,34.635,60.13,2.705
INT,,,,,,
